Keyword;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2025;Searches: Apr 2025;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025;Searches: Jan 2026;Searches: Feb 2026
estetica automotiva;500;0%;-90%;Baixo;26;1,13;3,45;;;;;;;;;;;;;;;;;
farol;500;0%;0%;Baixo;17;1,19;5,55;;;;;;;;;;;;;;;;;
estética automotiva;500;0%;-90%;Baixo;26;1,13;3,45;;;;;;;;;;;;;;;;;
lampadas h7;500;-90%;-90%;Alto;100;0,18;0,43;;;;;;;;;;;;;;;;;
esteticaautomotiva;500;0%;-90%;Baixo;26;1,13;3,45;;;;;;;;;;;;;;;;;
restauração de farol;50;0%;0%;Alto;79;;;;;;;;;;;;;;;;;;;
mascara negra;50;0%;0%;Baixo;5;;;;;;;;;;;;;;;;;;;
luz de milha;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
personalização painel;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
restauração farol;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna dianteira;50;0%;0%;Baixo;0;;;;;;;;;;;;;;;;;;;
farol de milha;50;0%;-90%;Alto;89;0,04;0,16;;;;;;;;;;;;;;;;;
farol de led;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha para moto;50;0%;0%;Alto;100;0,23;0,53;;;;;;;;;;;;;;;;;
luxcar farol novo;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha de led;50;0%;0%;Alto;93;0,1;0,33;;;;;;;;;;;;;;;;;
farol led;50;0%;0%;Alto;80;;;;;;;;;;;;;;;;;;;
produtos para estetica automotiva;50;0%;0%;Alto;100;0,45;0,99;;;;;;;;;;;;;;;;;
farol novo luxcar;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
estetica automotiva porto alegre;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
vitrificador de farol;50;0%;0%;Alto;88;;;;;;;;;;;;;;;;;;;
farol gol g5;50;0%;0%;Alto;100;0,27;0,44;;;;;;;;;;;;;;;;;
farol gol g4;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha gol g4;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol gol g3;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
estética automotiva perto de mim;50;0%;0%;Médio;60;0,88;4,04;;;;;;;;;;;;;;;;;
farol celta 2012;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
produtos estetica automotiva;50;0%;0%;Alto;100;0,45;0,99;;;;;;;;;;;;;;;;;
farol de milha gol g5;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol peugeot 207;50;0%;0%;Alto;100;0,19;0,71;;;;;;;;;;;;;;;;;
loja de estetica automotiva;50;0%;0%;Baixo;20;;;;;;;;;;;;;;;;;;;
farol peugeot 206;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha led;50;0%;0%;Alto;93;0,1;0,33;;;;;;;;;;;;;;;;;
farolete;50;0%;0%;Médio;63;;;;;;;;;;;;;;;;;;;
farol auxiliar moto;50;0%;0%;Alto;100;0,17;0,64;;;;;;;;;;;;;;;;;
produtos de estetica automotiva;50;0%;0%;Médio;56;;;;;;;;;;;;;;;;;;;
farol do gol g4;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
lanterna traseira gol g4;50;0%;0%;Médio;50;;;;;;;;;;;;;;;;;;;
farol celta 2010;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farolete de led;50;0%;∞;Alto;100;;;;;;;;;;;;;;;;;;;
farol gol g2;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol palio 2008;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de led para moto;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
estetica automotiva belo horizonte;50;0%;0%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol palio 97;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol gol g6;50;0%;0%;Alto;79;;;;;;;;;;;;;;;;;;;
farol astra 2011;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol jeep renegade;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol astra;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
loja estetica automotiva;50;0%;0%;Médio;57;;;;;;;;;;;;;;;;;;;
farol de milha gol g3;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farolete led;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol scania serie 5;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do gol g3;50;0%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol celta;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol montana 2013;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha gol g2;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
farol de milha gol quadrado;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farois auxiliares moto;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol vectra 2000;50;∞;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol do jeep renegade;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol de milha gol g6;50;0%;0%;Alto;100;;;;;;;;;;;;;;;;;;;
farol celta 2007;50;-100%;-100%;Desconhecido;;;;;;;;;;;;;;;;;;;;
